year_film,year_ceremony,ceremony,category,name,film,winner
2022,2023,95,DOCUMENTARY SHORT FILM,Kartiki Gonsalves and Guneet Monga,The Elephant Whisperers,TRUE
2022,2023,95,DOCUMENTARY SHORT FILM,Evgenia Arbugaeva and Maxim Arbugaev,Haulout,FALSE
2022,2023,95,DOCUMENTARY SHORT FILM,Jay Rosenblatt,How Do You Measure a Year?,FALSE
2022,2023,95,DOCUMENTARY SHORT FILM,Anne Alvergue and Beth Levison,The Martha Mitchell Effect,FALSE
2022,2023,95,DOCUMENTARY SHORT FILM,Joshua Seftel and Conall Jones,Stranger at the Gate,FALSE
2022,2023,95,FILM EDITING,Mikkel E.G. Nielsen,The Banshees of Inisherin,FALSE
2022,2023,95,FILM EDITING,Matt Villa and Jonathan Redmond,Elvis,FALSE
2022,2023,95,FILM EDITING,Paul Rogers,Everything Everywhere All at Once,TRUE
2022,2023,95,FILM EDITING,Monika Willi,Tár,FALSE
2022,2023,95,FILM EDITING,Eddie Hamilton,Top Gun: Maverick,FALSE
2022,2023,95,INTERNATIONAL FEATURE FILM,Germany,All Quiet on the Western Front,TRUE
2022,2023,95,INTERNATIONAL FEATURE FILM,Argentina,"Argentina, 1985",FALSE
2022,2023,95,INTERNATIONAL FEATURE FILM,Belgium,Close,FALSE
2022,2023,95,INTERNATIONAL FEATURE FILM,Poland,EO,FALSE
2022,2023,95,INTERNATIONAL FEATURE FILM,Ireland,The Quiet Girl,FALSE
2022,2023,95,MAKEUP AND HAIRSTYLING,Heike Merker and Linda Eisenhamerová,All Quiet on the Western Front,FALSE
2022,2023,95,MAKEUP AND HAIRSTYLING,"Naomi Donne, Mike Marino and Mike Fontaine",The Batman,FALSE
2022,2023,95,MAKEUP AND HAIRSTYLING,Camille Friend and Joel Harlow,Black Panther: Wakanda Forever,FALSE
2022,2023,95,MAKEUP AND HAIRSTYLING,"Mark Coulier, Jason Baird and Aldo Signoretti",Elvis,FALSE
2022,2023,95,MAKEUP AND HAIRSTYLING,"Adrien Morot, Judy Chin and Annemarie Bradley",The Whale,TRUE
2022,2023,95,MUSIC (Original Score),Volker Bertelmann,All Quiet on the Western Front,TRUE
2022,2023,95,MUSIC (Original Score),Justin Hurwitz,Babylon,FALSE
2022,2023,95,MUSIC (Original Score),Carter Burwell,The Banshees of Inisherin,FALSE
2022,2023,95,MUSIC (Original Score),Son Lux,Everything Everywhere All at Once,FALSE
2022,2023,95,MUSIC (Original Score),John Williams,The Fabelmans,FALSE
2022,2023,95,MUSIC (Original Song),Music and Lyric by Diane Warren,Tell It like a Woman,FALSE
2022,2023,95,MUSIC (Original Song),Music and Lyric by Lady Gaga and BloodPop,Top Gun: Maverick,FALSE
2022,2023,95,MUSIC (Original Song),"Music by Tems, Rihanna, Ryan Coogler and Ludwig Goransson; Lyric by Tems and Ryan Coogler",Black Panther: Wakanda Forever,FALSE
2022,2023,95,MUSIC (Original Song),Music by M.M. Keeravaani; Lyric by Chandrabose,RRR,TRUE
2022,2023,95,MUSIC (Original Song),"Music by Ryan Lott, David Byrne and Mitski; Lyric by Ryan Lott and David Byrne",Everything Everywhere All at Once,FALSE
2022,2023,95,BEST PICTURE,"Malte Grunert, Producer",All Quiet on the Western Front,FALSE
2022,2023,95,BEST PICTURE,"James Cameron and Jon Landau, Producers",Avatar: The Way of Water,FALSE
2022,2023,95,BEST PICTURE,"Graham Broadbent, Pete Czernin and Martin McDonagh, Producers",The Banshees of Inisherin,FALSE
2022,2023,95,BEST PICTURE,"Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick and Schuyler Weiss, Producers",Elvis,FALSE
2022,2023,95,BEST PICTURE,"Daniel Kwan, Daniel Scheinert and Jonathan Wang, Producers",Everything Everywhere All at Once,TRUE
2022,2023,95,BEST PICTURE,"Kristie Macosko Krieger, Steven Spielberg and Tony Kushner, Producers",The Fabelmans,FALSE
2022,2023,95,BEST PICTURE,"Todd Field, Alexandra Milchan and Scott Lambert, Producers",Tár,FALSE
2022,2023,95,BEST PICTURE,"Tom Cruise, Christopher McQuarrie, David Ellison and Jerry Bruckheimer, Producers",Top Gun: Maverick,FALSE
2022,2023,95,BEST PICTURE,"Erik Hemmendorff and Philippe Bober, Producers",Triangle of Sadness,FALSE
2022,2023,95,BEST PICTURE,"Dede Gardner, Jeremy Kleiner and Frances McDormand, Producers",Women Talking,FALSE
2022,2023,95,PRODUCTION DESIGN,Production Design: Christian M. Goldbeck; Set Decoration: Ernestine Hipper,All Quiet on the Western Front,TRUE
2022,2023,95,PRODUCTION DESIGN,Production Design: Dylan Cole and Ben Procter; Set Decoration: Vanessa Cole,Avatar: The Way of Water,FALSE
2022,2023,95,PRODUCTION DESIGN,Production Design: Florencia Martin; Set Decoration: Anthony Carlino,Babylon,FALSE
2022,2023,95,PRODUCTION DESIGN,Production Design: Catherine Martin and Karen Murphy; Set Decoration: Bev Dunn,Elvis,FALSE
2022,2023,95,PRODUCTION DESIGN,Production Design: Rick Carter; Set Decoration: Karen O'Hara,The Fabelmans,FALSE
2022,2023,95,SHORT FILM (Animated),Charlie Mackesy and Matthew Freud,"The Boy, the Mole, the Fox and the Horse",TRUE
2022,2023,95,SHORT FILM (Animated),Amanda Forbis and Wendy Tilby,The Flying Sailor,FALSE
2022,2023,95,SHORT FILM (Animated),João Gonzalez and Bruno Caetano,Ice Merchants,FALSE
2022,2023,95,SHORT FILM (Animated),Sara Gunnarsdóttir and Pamela Ribon,My Year of Dicks,FALSE
2022,2023,95,SHORT FILM (Animated),Lachlan Pendragon,An Ostrich Told Me the World Is Fake and I Think I Believe It,FALSE
2022,2023,95,SHORT FILM (Live Action),Tom Berkeley and Ross White,An Irish Goodbye,TRUE
2022,2023,95,SHORT FILM (Live Action),Anders Walter and Rebecca Pruzan,Ivalu,FALSE
2022,2023,95,SHORT FILM (Live Action),Alice Rohrwacher and Alfonso Cuarón,Le Pupille,FALSE
2022,2023,95,SHORT FILM (Live Action),Eirik Tveiten and Gaute Lid Larssen,Night Ride,FALSE
2022,2023,95,SHORT FILM (Live Action),Cyrus Neshvad,The Red Suitcase,FALSE
2022,2023,95,SOUND,"Viktor Prášil, Frank Kruse, Markus Stemler, Lars Ginzel and Stefan Korte",All Quiet on the Western Front,FALSE
2022,2023,95,SOUND,"Julian Howarth, Gwendolyn Yates Whittle, Dick Bernstein, Christopher Boyes, Gary Summers and Michael Hedges",Avatar: The Way of Water,FALSE
2022,2023,95,SOUND,"Stuart Wilson, William Files, Douglas Murray and Andy Nelson",The Batman,FALSE
2022,2023,95,SOUND,"David Lee, Wayne Pashley, Andy Nelson and Michael Keller",Elvis,FALSE
2022,2023,95,SOUND,"Mark Weingarten, James H. Mather, Al Nelson, Chris Burdon and Mark Taylor",Top Gun: Maverick,TRUE
2022,2023,95,VISUAL EFFECTS,"Frank Petzold, Viktor Müller, Markus Frank and Kamil Jafar",All Quiet on the Western Front,FALSE
2022,2023,95,VISUAL EFFECTS,"Joe Letteri, Richard Baneham, Eric Saindon and Daniel Barrett",Avatar: The Way of Water,TRUE
2022,2023,95,VISUAL EFFECTS,"Dan Lemmon, Russell Earl, Anders Langlands and Dominic Tuohy",The Batman,FALSE
2022,2023,95,VISUAL EFFECTS,"Geoffrey Baumann, Craig Hammack, R. Christopher White and Dan Sudick",Black Panther: Wakanda Forever,FALSE
2022,2023,95,VISUAL EFFECTS,"Ryan Tudhope, Seth Hill, Bryan Litson and Scott R. Fisher",Top Gun: Maverick,FALSE
2022,2023,95,WRITING (Adapted Screenplay),"Screenplay - Edward Berger, Lesley Paterson & Ian Stokell",All Quiet on the Western Front,FALSE
2022,2023,95,WRITING (Adapted Screenplay),Written by Rian Johnson,Glass Onion: A Knives Out Mystery,FALSE
2022,2023,95,WRITING (Adapted Screenplay),Written by Kazuo Ishiguro,Living,FALSE
2022,2023,95,WRITING (Adapted Screenplay),Screenplay by Ehren Kruger and Eric Warren Singer and Christopher McQuarrie; Story by Peter Craig and Justin Marks,Top Gun: Maverick,FALSE
2022,2023,95,WRITING (Adapted Screenplay),Screenplay by Sarah Polley,Women Talking,TRUE
2022,2023,95,WRITING (Original Screenplay),Written by Martin McDonagh,The Banshees of Inisherin,FALSE
2022,2023,95,WRITING (Original Screenplay),Written by Daniel Kwan & Daniel Scheinert,Everything Everywhere All at Once,TRUE
2022,2023,95,WRITING (Original Screenplay),Written by Steven Spielberg & Tony Kushner,The Fabelmans,FALSE
2022,2023,95,WRITING (Original Screenplay),Written by Todd Field,Tár,FALSE
2022,2023,95,WRITING (Original Screenplay),Written by Ruben Östlund,Triangle of Sadness,FALSE
2022,2023,95,JEAN HERSHOLT HUMANITARIAN AWARD,,,TRUE
2022,2023,95,HONORARY AWARD,"To Euzhan Palcy, a masterful filmmaker who broke ground for Black women directors and inspired storytellers of all kinds across the globe.",,TRUE
2022,2023,95,HONORARY AWARD,"To Diane Warren, for her genius, generosity and passionate commitment to the power of song in film.",,TRUE
2022,2023,95,HONORARY AWARD,"To Peter Weir, a fearless and consummate filmmaker who has illuminated the human experience with his unique and expansive body of work.",,TRUE
2022,2023,95,GORDON E. SAWYER AWARD,Iain Neil,,TRUE
2022,2023,95,AWARD OF COMMENDATION,To Ryan Laney for his innovative adaptation and deployment of AI-driven facial veiling technology used to protect the identities while preserving the visual relatability of subjects in documentary filmmaking as exemplified in Welcome to Chechnya (2020).,Welcome to Chechnya,TRUE
